|                                                      filename |                author | commits |  last date |
|                                 scipy/integrate/mach/d1mach.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/integrate/mach/xerror.f |        Jarrod Millman |       1 | 2007-08-21 |
|                           scipy/integrate/odepack/blkdta000.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/integrate/odepack/bnorm.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/integrate/odepack/cfode.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/integrate/odepack/ewset.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/integrate/odepack/fnorm.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/integrate/odepack/intdy.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/integrate/odepack/srcma.f |        Jarrod Millman |       1 | 2007-08-21 |
|                              scipy/integrate/odepack/vmnorm.f |        Jarrod Millman |       1 | 2007-08-21 |
|                              scipy/integrate/odepack/xerrwv.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/integrate/odepack/xsetf.f |        Jarrod Millman |       1 | 2007-08-21 |
|                              scipy/integrate/odepack/xsetun.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/integrate/quadpack/dqag.f |        Jarrod Millman |       1 | 2007-08-21 |
|                              scipy/integrate/quadpack/dqage.f |        Jarrod Millman |       1 | 2007-08-21 |
|                              scipy/integrate/quadpack/dqagi.f |        Jarrod Millman |       1 | 2007-08-21 |
|                             scipy/integrate/quadpack/dqagie.f |        Jarrod Millman |       1 | 2007-08-21 |
|                              scipy/integrate/quadpack/dqagp.f |        Jarrod Millman |       1 | 2007-08-21 |
|                             scipy/integrate/quadpack/dqagpe.f |        Jarrod Millman |       1 | 2007-08-21 |
|                              scipy/integrate/quadpack/dqags.f |        Jarrod Millman |       1 | 2007-08-21 |
|                             scipy/integrate/quadpack/dqagse.f |        Jarrod Millman |       1 | 2007-08-21 |
|                              scipy/integrate/quadpack/dqawc.f |        Jarrod Millman |       1 | 2007-08-21 |
|                             scipy/integrate/quadpack/dqawce.f |        Jarrod Millman |       1 | 2007-08-21 |
|                              scipy/integrate/quadpack/dqawf.f |        Jarrod Millman |       1 | 2007-08-21 |
|                             scipy/integrate/quadpack/dqawfe.f |        Jarrod Millman |       1 | 2007-08-21 |
|                              scipy/integrate/quadpack/dqawo.f |        Jarrod Millman |       1 | 2007-08-21 |
|                             scipy/integrate/quadpack/dqawoe.f |        Jarrod Millman |       1 | 2007-08-21 |
|                              scipy/integrate/quadpack/dqaws.f |        Jarrod Millman |       1 | 2007-08-21 |
|                             scipy/integrate/quadpack/dqawse.f |        Jarrod Millman |       1 | 2007-08-21 |
